HGNC ID	Status	Approved symbol	Approved name
HGNC:5	Approved	A1BG	alpha-1-B glycoprotein
HGNC:37133	Approved	A1BG-AS1	A1BG antisense RNA 1
HGNC:24086	Approved	A1CF	APOBEC1 complementation factor
HGNC:7	Approved	A2M	alpha-2-macroglobulin
HGNC:27057	Approved	A2M-AS1	A2M antisense RNA 1 (head to head)
HGNC:23336	Approved	A2ML1	alpha-2-macroglobulin like 1
HGNC:41022	Approved	A2ML1-AS1	A2ML1 antisense RNA 1
HGNC:41523	Approved	A2ML1-AS2	A2ML1 antisense RNA 2
HGNC:8	Approved	A2MP1	alpha-2-macroglobulin pseudogene 1
HGNC:30005	Approved	A3GALT2	alpha 1,3-galactosyltransferase 2
HGNC:18149	Approved	A4GALT	alpha 1,4-galactosyltransferase (P blood group)
HGNC:17968	Approved	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase
HGNC:1	Entry Withdrawn	A12M1	entry withdrawn
HGNC:2	Entry Withdrawn	A12M2	entry withdrawn
HGNC:3	Entry Withdrawn	A12M3	entry withdrawn
HGNC:4	Entry Withdrawn	A12M4	entry withdrawn
HGNC:13666	Approved	AAAS	aladin WD repeat nucleoporin
HGNC:12	Entry Withdrawn	AABT	entry withdrawn
HGNC:21298	Approved	AACS	acetoacetyl-CoA synthetase
HGNC:18226	Approved	AACSP1	acetoacetyl-CoA synthetase pseudogene 1
HGNC:17	Approved	AADAC	arylacetamide deacetylase
HGNC:24427	Approved	AADACL2	arylacetamide deacetylase like 2
HGNC:50301	Approved	AADACL2-AS1	AADACL2 antisense RNA 1
HGNC:32037	Approved	AADACL3	arylacetamide deacetylase like 3
HGNC:32038	Approved	AADACL4	arylacetamide deacetylase like 4
HGNC:50305	Approved	AADACP1	arylacetamide deacetylase pseudogene 1
HGNC:17929	Approved	AADAT	aminoadipate aminotransferase
HGNC:16881	Approved	AAED1	AhpC/TSA antioxidant enzyme domain containing 1
HGNC:25662	Approved	AAGAB	alpha and gamma adaptin binding protein
HGNC:19679	Approved	AAK1	AP2 associated kinase 1
HGNC:30205	Approved	AAMDC	adipogenesis associated Mth938 domain containing
HGNC:18	Approved	AAMP	angio associated migratory cell protein
HGNC:19	Approved	AANAT	aralkylamine N-acetyltransferase
HGNC:15886	Approved	AAR2	AAR2 splicing factor homolog
HGNC:33842	Approved	AARD	alanine and arginine rich domain containing protein
HGNC:20	Approved	AARS	alanyl-tRNA synthetase
HGNC:21022	Approved	AARS2	alanyl-tRNA synthetase 2, mitochondrial
HGNC:28417	Approved	AARSD1	alanyl-tRNA synthetase domain containing 1
HGNC:49894	Approved	AARSP1	alanyl-tRNA synthetase pseudogene 1
HGNC:23993	Approved	AASDH	aminoadipate-semialdehyde dehydrogenase
HGNC:14235	Approved	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
HGNC:17366	Approved	AASS	aminoadipate-semialdehyde synthase
HGNC:51526	Approved	AATBC	apoptosis associated transcript in bladder cancer
HGNC:19235	Approved	AATF	apoptosis antagonizing transcription factor
HGNC:21	Approved	AATK	apoptosis associated tyrosine kinase
HGNC:22	Approved	AAVS1	adeno-associated virus integration site 1
HGNC:49667	Approved	ABALON	apoptotic BCL2L1-antisense long non-coding RNA
HGNC:23	Approved	ABAT	4-aminobutyrate aminotransferase
HGNC:29	Approved	ABCA1	ATP binding cassette subfamily A member 1
HGNC:32	Approved	ABCA2	ATP binding cassette subfamily A member 2
HGNC:33	Approved	ABCA3	ATP binding cassette subfamily A member 3
