Hugo Symbol	# of occurence within resources	OncoKB Annotated	OncoKB Oncogene	OncoKB TSG	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC
ABL1	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
ABL2	3	No			Yes	Yes	No	No	No	Yes
ACTB	1	No			No	Yes	No	No	No	No
ACTG1	1	No			No	No	No	Yes	No	No
ACVR1	3	Yes	Yes		No	No	Yes	No	No	Yes
ACVR1B	2	No			Yes	No	No	No	Yes	No
ACVR2A	1	No			No	No	No	No	No	Yes
PARP1	3	Yes	Yes		No	No	Yes	Yes	No	No
AKT1	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
AKT2	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
ALDH2	1	No			No	No	No	No	No	Yes
ALK	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
ALOX12B	3	Yes			No	No	Yes	Yes	No	No
APC	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
BIRC3	5	Yes			No	Yes	Yes	Yes	No	Yes
XIAP	2	Yes			No	No	Yes	No	No	No
FAS	4	No			Yes	Yes	No	Yes	No	Yes
AR	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
ARAF	5	Yes	Yes		Yes	Yes	Yes	Yes	No	No
RHOA	5	Yes	Yes		No	Yes	Yes	Yes	No	Yes
RHOH	2	No			No	Yes	No	No	No	Yes
ARNT	2	No			No	Yes	No	No	No	Yes
ZFHX3	3	Yes			No	No	Yes	No	No	Yes
ATF1	2	No			No	Yes	No	No	No	Yes
ATIC	2	No			No	Yes	No	No	No	Yes
ATM	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
ATP1A1	1	No			No	No	No	No	No	Yes
ATP2B3	1	No			No	No	No	No	No	Yes
ATP6V1B2	1	No			No	No	No	Yes	No	No
ATP6AP1	1	No			No	No	No	Yes	No	No
ATR	6	Yes		Yes	Yes	Yes	Yes	Yes	No	Yes
ATRX	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
AXL	5	Yes	Yes		Yes	Yes	Yes	Yes	No	No
B2M	6	Yes		Yes	No	Yes	Yes	Yes	Yes	Yes
BARD1	5	Yes		Yes	Yes	Yes	Yes	Yes	No	No
CCND1	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
BCL2	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
BCL2L1	3	Yes			Yes	No	Yes	No	No	No
BCL2L2	2	No			Yes	Yes	No	No	No	No
BCL3	2	No			No	Yes	No	No	No	Yes
BCL5	1	No			No	No	No	No	No	Yes
BCL6	5	Yes	Yes		No	Yes	Yes	Yes	No	Yes
BCL7A	2	No			No	Yes	No	No	No	Yes
NBEAP1	1	No			No	Yes	No	No	No	No
BCL9	2	No			No	Yes	No	No	No	Yes
TNFRSF17	2	No			No	Yes	No	No	No	Yes
BCR	4	No			Yes	Yes	No	Yes	No	Yes
PRDM1	7	Yes			Yes	Yes	Yes	Yes	Yes	Yes
BLM	6	Yes			Yes	Yes	Yes	Yes	No	Yes
BMPR1A	3	Yes			No	No	Yes	No	No	Yes
FOXL2	7	Yes			Yes	Yes	Yes	Yes	Yes	Yes
BRCA1	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
BRAF	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
BRCA2	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
BTG1	4	No			Yes	Yes	No	Yes	No	Yes
BTK	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
BUB1B	1	No			No	No	No	No	No	Yes
CACNA1D	1	No			No	No	No	No	No	Yes
CAD	1	No			No	Yes	No	No	No	No
CALR	5	Yes			Yes	No	Yes	Yes	No	Yes
CARS	2	No			No	Yes	No	No	No	Yes
CASP8	5	Yes		Yes	No	No	Yes	Yes	Yes	Yes
RUNX2	1	No			No	Yes	No	No	No	No
RUNX1	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
RUNX1T1	4	No			Yes	Yes	No	Yes	No	Yes
CBFA2T3	2	No			No	Yes	No	No	No	Yes
CBFB	6	Yes			Yes	Yes	Yes	Yes	No	Yes
CBL	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
CBLB	1	No			No	No	No	No	No	Yes
CCND2	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
CCND3	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
CCNE1	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
CD22	1	No			No	Yes	No	No	No	No
CD28	1	No			No	No	No	Yes	No	No
CD36	1	No			No	Yes	No	No	No	No
CD58	2	No			No	Yes	No	Yes	No	No
CD70	1	No			No	Yes	No	No	No	No
CD74	1	No			No	No	No	No	No	Yes
CD79A	6	Yes			Yes	Yes	Yes	Yes	No	Yes
CD79B	6	Yes			Yes	Yes	Yes	Yes	No	Yes
CDC42	2	Yes			No	No	Yes	No	No	No
CDH1	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
CDH11	1	No			No	No	No	No	No	Yes
CDK4	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
CDK6	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
CDK8	5	Yes			Yes	Yes	Yes	Yes	No	No
CDKN1A	3	Yes		Yes	Yes	No	Yes	No	No	No
CDKN1B	6	Yes		Yes	Yes	Yes	Yes	Yes	No	Yes
CDKN2A	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
CDKN2B	5	Yes		Yes	Yes	Yes	Yes	Yes	No	No
CDKN2C	6	Yes		Yes	Yes	Yes	Yes	Yes	No	Yes
CDX2	2	No			No	Yes	No	No	No	Yes
CEBPA	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
CENPA	2	Yes			No	No	Yes	No	No	No
CHD2	2	No			Yes	Yes	No	No	No	No
CHD4	2	No			Yes	No	No	No	No	Yes
AKR1C4	1	No			No	Yes	No	No	No	No
CHEK1	5	Yes			Yes	Yes	Yes	Yes	No	No
CHN1	1	No			No	Yes	No	No	No	No
CKS1B	1	No			No	Yes	No	No	No	No
CLTC	2	No			No	Yes	No	No	No	Yes
COL1A1	2	No			No	Yes	No	No	No	Yes
