hgnc_symbol	ensembl_canonical_transcript	genome_nexus_canonical_transcript	uniprot_canonical_transcript	mskcc_canonical_trancript
ESCO2	ENST00000305188	ENST00000305188	ENST00000305188	ENST00000305188
FZR1	ENST00000395095	ENST00000395095	ENST00000395095	ENST00000395095
GAL3ST4	ENST00000360039	ENST00000360039	ENST00000360039	ENST00000360039
CENPIP1	ENSG00000224778	ENSG00000224778	ENSG00000224778	ENSG00000224778
C8orf31	ENST00000395172	ENST00000395172	ENST00000395172	ENST00000395172
ZNF880	ENST00000422689	ENST00000422689	ENST00000422689	ENST00000422689
RN7SL523P	ENSG00000243976	ENSG00000243976	ENSG00000243976	ENSG00000243976
MTHFD2	ENST00000394053	ENST00000394053	ENST00000394053	ENST00000394053
CALD1	ENST00000361675	ENST00000361675	ENST00000361675	ENST00000361675
MIR4423	ENSG00000266110	ENSG00000266110	ENSG00000266110	ENSG00000266110
THAP12P6				
NKAPP1	ENST00000592037	ENST00000592037	ENST00000592037	ENST00000592037
MTRNR2L2	ENSG00000271043	ENSG00000271043	ENST00000600213	ENST00000600213
PCSK9	ENST00000302118	ENST00000302118	ENST00000302118	ENST00000302118
NPM1P38	ENSG00000219257	ENSG00000219257	ENSG00000219257	ENSG00000219257
GEMIN2P2				
RBAK-RBAKDN	ENST00000396904	ENST00000396904	ENST00000396904	ENST00000396904
RPL36P7				
DMKN	ENST00000339686	ENST00000339686	ENST00000339686	ENST00000339686
PRSS35	ENST00000536636	ENST00000536636	ENST00000369700	ENST00000369700
MTCO1P32				
PRS				
RPS7P13	ENSG00000235425	ENSG00000235425	ENSG00000235425	ENSG00000235425
STXBP1	ENST00000373302	ENST00000373302	ENST00000373299	ENST00000373299
NPM1P29	ENSG00000239351	ENSG00000239351	ENSG00000239351	ENSG00000239351
RNU6-516P	ENSG00000223313	ENSG00000223313	ENSG00000223313	ENSG00000223313
KIAA1324	ENST00000369939	ENST00000369939	ENST00000369939	ENST00000369939
MIR6813				
LINC01906				
PTP4A1P1	ENSG00000231158	ENSG00000231158	ENSG00000231158	ENSG00000231158
TBC1D31	ENST00000287380	ENST00000287380	ENST00000287380	ENST00000287380
RN7SL729P	ENSG00000265414	ENSG00000265414	ENSG00000265414	ENSG00000265414
RN7SKP225	ENSG00000222337	ENSG00000222337	ENSG00000222337	ENSG00000222337
RTCA	ENST00000260563	ENST00000260563	ENST00000370128	ENST00000370128
GSK2				
MIRN801				
TRS-GCT3-1				
LINC02044				
GM2AP1	ENSG00000241695	ENSG00000241695	ENSG00000241695	ENSG00000241695
CATIP			ENST00000289388	ENST00000289388
KIAA1456	ENST00000524591	ENST00000524591	ENST00000524591	ENST00000524591
RBMXP2	ENSG00000215210	ENSG00000215210	ENSG00000215210	ENSG00000215210
OR7E157P	ENSG00000233176	ENSG00000233176	ENSG00000233176	ENSG00000233176
HYI-AS1	ENSG00000229348	ENSG00000229348	ENSG00000229348	ENSG00000229348
SAYSD1	ENST00000229903	ENST00000229903	ENST00000229903	ENST00000229903
SZT2-AS1	ENSG00000229372	ENSG00000229372	ENSG00000229372	ENSG00000229372
RPL23AP53	ENST00000606975	ENST00000606975	ENST00000606975	ENST00000606975
C11orf62				
NDUFA9P1	ENSG00000237406	ENSG00000237406	ENSG00000237406	ENSG00000237406
DDAH1	ENST00000284031	ENST00000284031	ENST00000284031	ENST00000284031
VSTM2B	ENSG00000187135	ENSG00000187135	ENST00000335523	ENST00000335523
RNU6-689P	ENSG00000206924	ENSG00000206924	ENSG00000206924	ENSG00000206924
MIR338	ENSG00000211563	ENSG00000211563	ENSG00000211563	ENSG00000211563
PGGT1BP1	ENSG00000213667	ENSG00000213667	ENSG00000213667	ENSG00000213667
MIR1261	ENSG00000221586	ENSG00000221586	ENSG00000221586	ENSG00000221586
TNFSF12	ENST00000557233	ENST00000557233	ENST00000293825	ENST00000293825
ZNF638	ENST00000409544	ENST00000409544	ENST00000264447	ENST00000264447
USP40	ENST00000450966	ENST00000450966	ENST00000251722	ENST00000251722
SLX4IP	ENST00000334534	ENST00000334534	ENST00000334534	ENST00000334534
EGR3	ENST00000317216	ENST00000317216	ENST00000317216	ENST00000317216
RPS26P36				
RNA5SP256	ENSG00000212280	ENSG00000212280	ENSG00000212280	ENSG00000212280
ZNF697	ENSG00000143067	ENSG00000143067	ENST00000421812	ENST00000421812
ANAPC15	ENST00000227618	ENST00000227618	ENST00000227618	ENST00000227618
LINC02183				
RNA5-8SN2				
RNF6	ENST00000381588	ENST00000381588	ENST00000346166	ENST00000346166
PAK1IP1	ENSG00000111845	ENSG00000111845	ENST00000379568	ENST00000379568
HMGB2	ENST00000296503	ENST00000296503	ENST00000296503	ENST00000296503
OTOF	ENST00000272371	ENST00000272371	ENST00000272371	ENST00000272371
OTOL1	ENSG00000182447	ENSG00000182447	ENST00000327928	ENST00000327928
OR7A15P	ENSG00000176923	ENSG00000176923	ENSG00000176923	ENSG00000176923
SIGLEC12	ENST00000291707	ENST00000291707	ENST00000291707	ENST00000291707
KRTAP15-1	ENSG00000186970	ENSG00000186970	ENST00000334067	ENST00000334067
HCG4P2				
RNA5SP392	ENSG00000252714	ENSG00000252714	ENSG00000252714	ENSG00000252714
MME	ENST00000460393	ENST00000460393	ENST00000360490	ENST00000360490
SPTBN4	ENST00000352632	ENST00000352632	ENST00000352632	ENST00000352632
GJA2				
CASC8	ENST00000502082	ENST00000502082	ENST00000502082	ENST00000502082
ZNF7	ENST00000528372	ENST00000528372	ENST00000528372	ENST00000528372
LINC01939				
RAD9B	ENST00000392672	ENST00000392672	ENST00000392672	ENST00000392672
RPS4XP4	ENSG00000215520	ENSG00000215520	ENSG00000215520	ENSG00000215520
SNORA40C				
MTND4P35				
TK1	ENST00000301634	ENST00000301634	ENST00000301634	ENST00000301634
MAST3	ENST00000262811	ENST00000262811	ENST00000262811	ENST00000262811
IGHD5-12	ENST00000604735	ENST00000604735	ENST00000604735	ENST00000604735
RNU6-585P	ENSG00000251928	ENSG00000251928	ENSG00000251928	ENSG00000251928
KIF11	ENSG00000138160	ENSG00000138160	ENST00000260731	ENST00000260731
PLCD3	ENST00000322765	ENST00000322765	ENST00000619929	ENST00000619929
PLAU	ENST00000372764	ENST00000372764	ENST00000372764	ENST00000372764
RPSAP40				
DFFA	ENST00000377038	ENST00000377038	ENST00000377038	ENST00000377038
TRIM51JP	ENSG00000232717	ENSG00000232717	ENSG00000232717	ENSG00000232717
BCL5				
ZNF346-IT1	ENSG00000251666	ENSG00000251666	ENSG00000251666	ENSG00000251666
ANKFN1	ENST00000318698	ENST00000318698	ENST00000318698	ENST00000318698
HSD3BP5	ENSG00000198857	ENSG00000198857	ENSG00000198857	ENSG00000198857
DPPA5P3				
C6orf57	ENST00000370474	ENST00000370474	ENST00000370474	ENST00000370474
RPL35AP33	ENSG00000241334	ENSG00000241334	ENSG00000241334	ENSG00000241334
OR5C1	ENSG00000148215	ENSG00000148215	ENST00000373680	ENST00000373680
IL11RB				
H3F3BP1	ENSG00000236534	ENSG00000236534	ENSG00000236534	ENSG00000236534
SSTR5	ENST00000293897	ENST00000293897	ENST00000293897	ENST00000293897
HSR1				
C12orf65	ENST00000253233	ENST00000253233	ENST00000253233	ENST00000253233
FTX	ENST00000429124	ENST00000429124	ENST00000429124	ENST00000429124
ZNF444	ENST00000337080	ENST00000337080	ENST00000337080	ENST00000337080
CARS2	ENST00000257347	ENST00000257347	ENST00000257347	ENST00000257347
MIR3172				
CNIH1	ENST00000216416	ENST00000216416	ENST00000216416	ENST00000216416
RNU6-503P	ENSG00000252338	ENSG00000252338	ENSG00000252338	ENSG00000252338
SRIP1	ENSG00000248660	ENSG00000248660	ENSG00000248660	ENSG00000248660
HDHD1	ENST00000424830	ENST00000424830	ENST00000424830	ENST00000424830
C22orf23	ENST00000249079	ENST00000249079	ENST00000249079	ENST00000249079
AHCYP3	ENSG00000233955	ENSG00000233955	ENSG00000233955	ENSG00000233955
RNU1-129P	ENST00000584730	ENST00000584730	ENST00000584730	ENST00000584730
CRYGC	ENSG00000163254	ENSG00000163254	ENST00000282141	ENST00000282141
NANOGP6	ENSG00000227351	ENSG00000227351	ENSG00000227351	ENSG00000227351
KCTD12	ENST00000377474	ENST00000377474	ENST00000377474	ENST00000377474
MIR4433A				
C19orf44	ENST00000221671	ENST00000221671	ENST00000221671	ENST00000221671
ZNF852	ENST00000436261	ENST00000436261	ENST00000436261	ENST00000436261
MIR4694	ENSG00000264309	ENSG00000264309	ENSG00000264309	ENSG00000264309
RN7SL134P	ENSG00000263360	ENSG00000263360	ENSG00000263360	ENSG00000263360
RNU6-1047P	ENSG00000201288	ENSG00000201288	ENSG00000201288	ENSG00000201288
PGAM1P7	ENSG00000213997	ENSG00000213997	ENSG00000213997	ENSG00000213997
LIF-AS1				
SEC22B	ENST00000453618	ENST00000453618	ENST00000578049	ENST00000578049
MRPL57			ENST00000309594	ENST00000309594
NRCAM	ENST00000379028	ENST00000379028	ENST00000379028	ENST00000379028
RNU1-11P	ENSG00000206702	ENSG00000206702	ENSG00000206702	ENSG00000206702
MIR548S	ENSG00000265056	ENSG00000265056	ENSG00000265056	ENSG00000265056
